OverNumber,Bowlers_Name,Batsman_Name,Outcome,Runs,Delivery_Length,Delivery_Line,Delivery_type,Shot_type,Shot_Field_Position,Hit_type,Innings_No
1,Hendricks  ,Babar Azam,Dot,0,GoodLength,Wide,Null,Cut,Point,Middled,2
18,Hendricks  ,Babar Azam,Dot,0,FullLength,OffStumps,Null,Pulled,MidWicket,Middled,2
8,Hendricks  ,Babar Azam,Dot,0,GoodLength ,MiddleStumps,Null,StraightDrive,Bowler,Middled,2
8,Hendricks  ,Babar Azam,Single,1,FullLength ,OffStumps,Off Cutter,Square Cut,MidWicket,Middled,2
7,Hendricks  ,Babar Azam,Dot,0,GoodLength ,Null,Null,StraightDrive,Null,Null,2
7,Magala  ,Babar Azam,Single,1,GoodLength ,Null,Null,BackFootDrive,OnSide,Middled,2
7,Magala  ,Babar Azam,Single,1,GoodLength ,OnThePads,Null,LegBye,OnSide,Missed,2
6,Magala  ,Babar Azam,Dot,0,Short ,AroundOff,MediumPaceBall,StraightDrive,Cover,Middled,2
6,Magala  ,Babar Azam,Double,2,GoodLength ,Null,MediumPaceBall,Pulled,DeepMidWicket,Middled,2
6,Hendricks  ,Babar Azam,Single,1,Short ,Null,MediumPaceBall,Cut,Cover,Middled,2
5,Hendricks  ,Babar Azam,Single,1,GoodLength ,OutsideOff,SlowerBall,Drag,MidWicket,Middled,2
5,Hendricks  ,Babar Azam,Four,4,FullLength,OutsideOff,MediumPaceBall,LoftedDrive,Backword Point,Middled,2
4,Linde  ,Babar Azam,Single,1,GoodLength ,OutsideOff,MediumPaceBall,Flick,LongOn,Middled,2
4,Linde  ,Babar Azam,Four,4,Short ,OutsideOff,MediumPaceBall,LateDabs,ThirdMan,Middled,2
4,Magala  ,Babar Azam,Double,2,FullLength,OutsideOff,SlowerBall,Pulled,DeepMidWicket,Middled,2
3,Magala  ,Babar Azam,Single,1,Short ,Null,SlowerBall,SoftHand,OffSide,Edged,2
3,Magala  ,Babar Azam,Single,1,Short ,OutsideOff,MediumPaceBall,Flick,MidOff,Middled,2
3,Williams  ,Babar Azam,Single,1,FullLength,Null,SlowerBall,Pulled,MidWicket,Middled,2
3,Williams  ,Babar Azam,Double,2,Short ,OutsideOff,MediumPaceBall,Punched ,Cover,Middled,2
2,Hendricks  ,Babar Azam,Four,4,FullLength,OutsideOff,SlowBouncer,Flick,ThirdMan,Middled,2
18,Hendricks  ,Babar Azam,Single,1,GoodLength ,OutsideOff,Null,Edge,Point,Edged,2
17,Hendricks  ,Babar Azam,Dot,0,FullLength,LegStump,Null,Null,Null,Missed,2
17,Shamsi  ,Babar Azam,Single,1,FullLength,DownTheLegSide,Flighted,Flick,LegSide,Missed,2
17,Shamsi  ,Babar Azam,Single,1,GoodLength,Stumps,Flighted,Sweep,DeepMidWicket,Middled,2
17,Magala  ,Babar Azam,Four,4,FullLength,OffStumps,Null,Defended,ThirdMan,Edged,2
16,Magala  ,Babar Azam,Dot,0,GoodLength ,OffStumps,Null,Drive,Bowler,Edged,2
16,Magala  ,Babar Azam,Single,1,FullLength  ,MiddleLegStump,Flighted,Flick,BehindSquare,Middled,2
15,Magala  ,Babar Azam,Double,2,GoodLength,Stumps,Null,StraightDrive,LongOn,NotMiddled,2
15,Shamsi  ,Babar Azam,Dot,0,Short    ,OutsideOff,Quicker,Tuckle,LegSide,Middled,2
15,Shamsi  ,Babar Azam,Double,2,GoodLength ,OutsideOff,Null,Cut,BehindThePoint,Middled,2
15,Magala  ,Babar Azam,Dot,0,GoodLength ,OffStumps,flatter,Defended,Null,Middled,2
15,Magala  ,Babar Azam,Single,1,Short    ,SixthStump,Null,Cut,Cover,Middled,2
14,Magala  ,Babar Azam,Single,1,FullLength  ,LegStump,Null,Flick,BehindSquare,Middled,2
14,Magala  ,Babar Azam,Single,1,Short    ,OutsideOff,MediumPaceBall,StraightDrive,ExraCover,Middled,2
13,Magala  ,Babar Azam,Single,1,FullLength  ,OffStumps,MediumPaceBall,Flick,MidWicket,Middled,2
13,Magala  ,Babar Azam,Single,1,GoodLength ,MiddleStump,Null,Heave,BackwardPoint,LeadingEdge,2
13,Linde  ,Babar Azam,Dot,0,FullLength,Null,Null,LoftedShot,Null,Null,2
12,Linde  ,Babar Azam,Dot,0,Null,AroundOff,Null,Null,ShortFineLeg,Null,2
12,Linde  ,Babar Azam,Single,1,Short,Null,Null,Null,OnSide,Null,2
12,Williams  ,Babar Azam,Dot,0,Short,Null,Null,Null,BackwardPoint,Null,2
12,Williams  ,Babar Azam,Single,1,Null,Null,Null,Null,MidWicket,LeadingEdge,2
12,Williams  ,Babar Azam,Single,1,GoodLength,Null,Flick,Null,ShortFineLeg,Missed,2
11,Shamsi  ,Babar Azam,Single,1,Short,WideOff,Null,Null,Cover,Null,2
11,Shamsi  ,Babar Azam,Dot,0,Short,WideOff,Null,Pulled,Null,Null,2
11,Shamsi  ,Babar Azam,Four,4,Null,Null,Null,Null,midwicket,Null,2
11,Shamsi  ,Babar Azam,Dot,0,GoodLength,OutsideOff,SlowBall,Null,front cover,Null,2
10,Shamsi  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Null,Null,Edged,2
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,AroundOff,Null,Punched,Bowler,Middled,1
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,DownTheLegSide,Null,Tuckle,MidWicket,Middled,1
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,AroundOff,Null,Defended,Point,Middled,1
8,Shamsi  ,Babar Azam,Dot,0,Short    ,AroundOff,Null,Drive,Cover,Middled,1
8,Shamsi  ,Babar Azam,Dot,0,FullLength  ,Null,Null,Dabbed,Slip1,edge,1
8,Shamsi  ,Babar Azam,Dot,0,Null,LegStump,SwingingIn,Flick,Null,Missed,1
8,Hendricks  ,Babar Azam,Single,1,Short    ,Null,Null,Flick,SquareLeg,Edged,1
8,Hendricks  ,Babar Azam,Double,2,GoodLength    ,OutsideOff,Null,Drive,ExraCover,Middled,1
7,Hendricks  ,Babar Azam,Dot,0,Short    ,OutsideOff,Null,Defended,Null,outside edge,1
7,Linde  ,Babar Azam,Single,1,Short    ,Null,Null,Crunched,DownTheWicket,Middled,1
7,Linde  ,Babar Azam,Dot,0,GoodLength    ,AroundOff,Null,Pulled,MidWicket,Middled,1
6,Hendricks  ,Babar Azam,Dot,0,GoodLength   ,Null,Null,Punched,WicketKeeper,miss,1
6,Hendricks  ,Babar Azam,Single,1,Short    ,Null,Null,Flick,MidWicket,Middled,1
6,Hendricks  ,Babar Azam,Four,4,FullLength  ,OutsideOff,Null,Pulled,RightMidWicket,Middled,1
6,Linde  ,Babar Azam,Dot,0,GoodLength    ,across off,AnglingIn,Defended,Cover,Middled,1
5,Linde  ,Babar Azam,Single,1,GoodLength ,Null,Null,Dabbed,Point,Middled,1
5,Linde  ,Babar Azam,Dot,0,GoodLength    ,Null,Null,Drive,ExraCover,Middled,1
5,Linde  ,Babar Azam,Dot,0,GoodLength   ,OutsideOff,SlowerBall,Pulled,Null,Missed,1
5,Hendricks  ,Babar Azam,Single,1,Short    ,Null,Null,Defended,Cover,Middled,1
4,Williams  ,Babar Azam,Single,1,GoodLength    ,Null,Null,Null,Null,Null,1
4,Williams  ,Babar Azam,Double,2,GoodLength   ,Null,Null,On drive,MidWicket,Middled,1
4,Magala  ,Babar Azam,Single,1,GoodLength    ,Null,Null,Pulled,LongOn,Middled,1
3,Magala  ,Babar Azam,Double,2,Null,DownTheLegSide,Null,Flick,DeepSquareLeg,Middled,1
3,Magala  ,Babar Azam,Double,2,Null,Null,Null,Punched,CoverSweeper,Middle,1
3,Magala  ,Babar Azam,Single,1,Null,Null,SlowerBall,Null,DeepOnTheOffside,Middle,1
3,Williams  ,Babar Azam,Double,2,FullLength,Null,SlowerBall,Cut,ThirdMan,Middle,1
2,Williams  ,Babar Azam,Double,2,Short,OnThePads,Null,Whipped ,DeepMidWicket,Middle,1
1,Shamsi  ,Babar Azam,Single,1,GoodLength,Null,Null,Whipped ,MidWicket,Middle,1
1,Shamsi  ,Babar Azam,Single,1,FullLength,AroundOff,Null,Null,MidWicket,Middle,1
10,Shamsi  ,Babar Azam,Single,1,GoodLength,Null,Null,Null,DeepMidWicket,Middle,1
9,Shamsi  ,Babar Azam,Dot,0,GoodLength,Null,Null,Null,WicketKeeper,Beaten,1
8,Shamsi  ,Babar Azam,Single,1,GoodLength,Null,Null,Punched,LongOn,Edged,1
8,Hendricks  ,Babar Azam,Single,1,Null,Null,Null,Knocked,Null,Middle,1
7,Hendricks  ,Babar Azam,Four,4,Null,Null,Null,Drive,LongOn,Middle,1
7,Magala  ,Babar Azam,Single,1,Null,Null,Null,Drive,long-off,Middle,1
7,Magala  ,Babar Azam,Single,1,Short,Null,Null,Drive,deep point,Middle,1
6,Magala  ,Babar Azam,Single,1,Null,OutsideOff,Null,Pulled,MidOn,Middle,1
6,Williams  ,Babar Azam,Single,1,GoodLength,Null,Null,Pulled,DeepMidWicket,Middle,1
6,Williams  ,Babar Azam,Four,4,Null,OutsideOff,Null,Cut,BackwardPoint,Middle,1
6,Williams  ,Babar Azam,Double,2,Null,Stumps,Null,Null,SquareLeg,Middle,1
5,Williams  ,Babar Azam,Four,4,Null,Null,Null,Lumped,MidOff,Middle,1
5,Williams  ,Babar Azam,Single,1,FullLength,Straight,Null,Nudged,LegSide,Middle,1
4,Magala  ,Babar Azam,Double,2,FullLength,Null,Null,Belts,DeepMidWicket,Middle,1
4,Magala  ,Babar Azam,Single,1,GoodLength,Null,Null,LeadingEdge,OffSide,Middle,1
2,Magala  ,Babar Azam,Single,1,GoodLength,Null,Null,Null,Cover,miscued,1
2,Magala  ,Babar Azam,Triple,3,Short,Null,AnglingIn,Whipped ,WideLongOn,Middle,1
1,Shamsi  ,Babar Azam,Single,1,FullLength,Null,Null,Drive,LegSide,Middle,1
2,Shamsi  ,Babar Azam,Four,4,Short,Null,Null,TopEdged,ThirdMan,TopEdged,1
1,Linde  ,Babar Azam,Out,-1,Short,Null,SpinningIn,HoledOut,DeepMidWicket,Middle,1
1,Linde  ,Babar Azam,Dot,0,FullLength,OnThePads,Null,Edged,Null,Edged,1
16,Linde  ,Babar Azam,Single,1,Short,Null,Null,Drive,Cover,Middle,1
15,Linde  ,Babar Azam,Single,1,Yorker,Null,Null,RunsItDown,ThirdMan,Middle,1
15,Linde  ,Babar Azam,Dot,0,FullLength,Null,Null,chip,OnSide,Middle,1
15,Shamsi  ,Babar Azam,Single,1,Null,Null,Null,Drive,OffSide,Middle,1
14,Shamsi  ,Babar Azam,Dot,0,Null,Null,Null,Drive,MidOff,Middle,1
14,Shamsi  ,Babar Azam,Four,4,Yorker,Wide,Null,Leans into it,Cover,Middle,1
14,Shamsi  ,Babar Azam,Single,1,GoodLength,Null,Null,Flick,MidWicket,Middle,1
13,Shamsi  ,Babar Azam,Single,1,GoodLength,DownTheLegSide,Null,Null,Null,Middle,1
12,Linde  ,Babar Azam,Single,1,Null,DownTheLegSide,Null,Null,Null,Middle,1
12,Linde  ,Babar Azam,Dot,0,Null,Null,Null,Punched,Bowler,Middle,1
11,Linde  ,Babar Azam,Single,1,GoodLength,Wide,Null,Null,Null,Middle,1
11,Hendricks  ,Babar Azam,Dot,0,Yorker,Null,Null,Clipped,MidWicket,Middle,1
11,Hendricks  ,Babar Azam,Dot,0,Short,Null,Null,Edged,Null,Edged,1
10,Hendricks  ,Babar Azam,Dot,0,Shortter,OffThePads,Null,Drive,Bowler,Middle,1
10,Hendricks  ,Babar Azam,Single,1,Short,Null,Null,Smashed,Bowler,Middle,1
10,Williams  ,Babar Azam,Double,2,Null,Null,Null,Scooped,MidOn,Middle,1
9,Williams  ,Babar Azam,Four,4,Null,Null,Null,PickUp,WideMidWicket,Middle,1
9,Williams  ,Babar Azam,Single,1,GoodLength,Null,Null,KanesItDown,ThirdMan,Middle,1
9,Williams  ,Babar Azam,Single,1,FullLength,Null,Null,RunsItDown,ThirdMan,Middle,1
9,Hendricks  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Null,Null,Middle,1
9,Hendricks  ,Babar Azam,Single,1,FullLength ,Null,Null,eased down,DownTheGround,Middle,1
8,Hendricks  ,Babar Azam,Double,2,GoodLength ,Null,Null,Flick,WideLongOn,Middle,1
8,Linde  ,Babar Azam,Single,1,GoodLength ,Null,Null,Drive,DownTheGround,Middle,1
8,Linde  ,Babar Azam,Single,1,GoodLength ,DownTheLegSide,Null,Null,Null,Middle,1
7,Linde  ,Babar Azam,Single,1,Short ,Null,Null,WorksItAway,LongOn,Middle,1
7,Linde  ,Babar Azam,Six,6,GoodLength ,Null,Null,Blisters,CowCorner,Middle,1
6,Hendricks  ,Babar Azam,Double,2,Short ,OffThePads,Null,Flick,Null,Middle,1
6,Linde  ,Babar Azam,Single,1,GoodLength ,Null,Null,Drive,long-off,Middle,1
6,Linde  ,Babar Azam,Single,1,FullLength,Null,Null,Slashed,SweeperCover,Middle,1
6,Williams  ,Babar Azam,Dot,0,GoodLength ,Null,AnglingIn,patted back,Bowler,Middle,1
4,Williams  ,Babar Azam,Single,1,Short ,OutsideOff,Null,Null,MidWicket,Middle,1
4,Shamsi  ,Babar Azam,Four,4,FullLength,Null,Null,Swept,BackwardSquareLeg,Middle,1
4,Mulder  ,Babar Azam,Single,1,Short ,Null,DriftsInward,worked,Square,Middle,1
4,Mulder  ,Babar Azam,Single,1,Short ,Null,Null,Pulled,DeepMidWicket,Middle,1
3,Magala  ,Babar Azam,Dot,0,FullLength,Null,Null,Null,Null,on the pad,1
3,Magala  ,Babar Azam,Single,1,Short ,Null,Null,Null,WicketKeeper,Middle,1
2,Magala  ,Babar Azam,Four,4,FullLength,Null,Null,Pulled,MidWicket,Middle,1
1,Williams  ,Babar Azam,Four,4,GoodLength ,Wide,yorker,Guided,ShortThirdMan,Middle,1
20,Williams  ,Babar Azam,Single,1,FullLength,MiddleStumps,Null,Flick,MidWicket,Middle,1
19,Williams  ,Babar Azam,Single,1,FullLength,Null,Null,Nudged,RoundTheCorner,Middle,1
19,Williams  ,Babar Azam,Single,1,GoodLength,DownTheLegStump,Null,Null,Null,Middle,1
19,Fortuin  ,Babar Azam,Single,1,FullLength,OnTheFifthStump,Null,Swung Across,WideLongOn,Middle,1
18,Fortuin  ,Babar Azam,Single,1,GoodLength ,Stumps,Null,Null,MidWicket,Middle,1
18,Williams  ,Babar Azam,Single,1,FullLength  ,OnThePads,NippingIn,Null,ShortLeg,Missed,1
17,Williams  ,Babar Azam,Single,1,GoodLength,Null,Null,WorksItOff,LegSide,Middle,1
17,Williams  ,Babar Azam,Six,6,Short    ,Null,Null,Belts,LongOn,Middle,1
17,Williams  ,Babar Azam,Single,1,GoodLength ,OutsideOff,Null,Cut,Point,Middle,1
16,Fortuin  ,Babar Azam,Dot,0,GoodLength ,MiddleStump,Null,Defended,Null,Middle,1
16,Fortuin  ,Babar Azam,Single,1,Short    ,WideOutsideOff,Null,Slapped,Point,Middle,1
16,Fortuin  ,Babar Azam,Six,6,FullLength  ,Null,Null,LoftedOnDrive,LongOn,Middle,1
16,Fortuin  ,Babar Azam,Double,2,Short    ,Null,Null,SlogSweep,DeepSquareLeg,Middle,1
15,Mulder  ,Babar Azam,Out,-1,FullLength  ,Null,Null,Pulled,WideLongOn,Middle,1
15,Mulder  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Cut,Point,Middled,2
15,Fortuin  ,Babar Azam,Dot,0,FullLength,Null,Null,Pulled,MidWicket,Middled,2
14,Muzarabani  ,Babar Azam,Dot,0,Null,MiddleStumps,Null,StraightDrive,Bowler,Middled,2
14,Muzarabani  ,Babar Azam,Single,1,Short,Null,Off Cutter,Square Cut,MidWicket,Middled,2
14,Masakadza  ,Babar Azam,Dot,0,Short,Null,Null,StraightDrive,Null,Null,2
14,Masakadza  ,Babar Azam,Single,1,Null,Null,Null,BackFootDrive,OnSide,Middled,2
13,Jongwe  ,Babar Azam,Single,1,GoodLength,OnThePads,Null,LegBye,OnSide,Missed,2
13,Jongwe  ,Babar Azam,Dot,0,Short,AroundOff,MediumPaceBall,StraightDrive,Cover,Middled,2
13,Madhevere  ,Babar Azam,Double,2,Short,Null,MediumPaceBall,Pulled,DeepMidWicket,Middled,2
13,Madhevere  ,Babar Azam,Single,1,Null,Null,MediumPaceBall,Cut,Cover,Middled,2
12,Madhevere  ,Babar Azam,Single,1,GoodLength,OutsideOff,SlowerBall,Drag,MidWicket,Middled,2
11,Burl  ,Babar Azam,Four,4,GoodLength ,OutsideOff,MediumPaceBall,LoftedDrive,Backword Point,Middled,2
11,Burl  ,Babar Azam,Single,1,GoodLength    ,OutsideOff,MediumPaceBall,Flick,LongOn,Middled,2
11,Burl  ,Babar Azam,Four,4,GoodLength    ,OutsideOff,MediumPaceBall,LateDabs,ThirdMan,Middled,2
11,Madhevere  ,Babar Azam,Double,2,GoodLength    ,OutsideOff,SlowerBall,Pulled,DeepMidWicket,Middled,2
10,Burl  ,Babar Azam,Single,1,Short    ,Null,SlowerBall,SoftHand,OffSide,Edged,2
10,Burl  ,Babar Azam,Single,1,FullLength  ,OutsideOff,MediumPaceBall,Flick,MidOff,Middled,2
10,Masakadza  ,Babar Azam,Single,1,Null,Null,SlowerBall,Pulled,MidWicket,Middled,2
10,Masakadza  ,Babar Azam,Double,2,Short    ,OutsideOff,MediumPaceBall,Punched ,Cover,Middled,2
9,Masakadza  ,Babar Azam,Four,4,GoodLength    ,OutsideOff,SlowBouncer,Flick,ThirdMan,Middled,2
9,Masakadza  ,Babar Azam,Single,1,Short    ,OutsideOff,Null,Edge,Point,Edged,2
8,Burl  ,Babar Azam,Dot,0,Short    ,LegStump,Null,Null,Null,Missed,2
8,Burl  ,Babar Azam,Single,1,GoodLength    ,DownTheLegSide,Flighted,Flick,LegSide,Missed,2
7,Burl  ,Babar Azam,Single,1,GoodLength   ,Stumps,Flighted,Sweep,DeepMidWicket,Middled,2
6,Masakadza  ,Babar Azam,Four,4,Short    ,OffStumps,Null,Defended,ThirdMan,Edged,2
6,Masakadza  ,Babar Azam,Dot,0,FullLength  ,OffStumps,Null,Drive,Bowler,Inside Edge ,2
6,Masakadza  ,Babar Azam,Single,1,GoodLength    ,MiddleLegStump,Flighted,Flick,BehindSquare,Middled,2
17,Masakadza  ,Babar Azam,Double,2,GoodLength ,Stumps,Null,StraightDrive,LongOn,NotMiddled,2
7,Masakadza  ,Babar Azam,Dot,0,GoodLength    ,OutsideOff,Quicker,Tuckle,LegSide,Middled,2
7,Burl  ,Babar Azam,Double,2,GoodLength   ,OutsideOff,Null,Cut,BehindThePoint,Middled,2
7,Burl  ,Babar Azam,Dot,0,Short    ,OffStumps,flatter,Defended,Null,Middled,2
6,Burl  ,Babar Azam,Single,1,GoodLength    ,SixthStump,Null,Cut,Cover,Middled,2
6,Madhevere  ,Babar Azam,Single,1,GoodLength   ,LegStump,Null,Flick,BehindSquare,Middled,2
6,Madhevere  ,Babar Azam,Single,1,GoodLength    ,OutsideOff,MediumPaceBall,StraightDrive,ExraCover,Middled,2
4,Jongwe  ,Babar Azam,Single,1,Null,OffStumps,MediumPaceBall,Flick,MidWicket,Middled,2
4,Jongwe  ,Babar Azam,Single,1,Null,MiddleStump,Null,Heave,BackwardPoint,LeadingEdge,2
4,Jongwe  ,Babar Azam,Dot,0,Null,Null,Null,LoftedShot,Null,Null,2
3,Jongwe  ,Babar Azam,Dot,0,FullLength,AroundOff,Null,Null,ShortFineLeg,Null,2
3,Muzarabani  ,Babar Azam,Single,1,Short,Null,Null,Null,OnSide,Null,2
3,Muzarabani  ,Babar Azam,Dot,0,GoodLength,Null,Null,Null,BackwardPoint,Null,2
3,Muzarabani  ,Babar Azam,Single,1,FullLength,Null,Null,Null,MidWicket,LeadingEdge,2
2,Muzarabani  ,Babar Azam,Single,1,GoodLength,Null,Flick,Null,ShortFineLeg,Missed,2
2,Muzarabani  ,Babar Azam,Single,1,GoodLength,WideOff,Null,Null,Cover,Null,2
1,Ngarava  ,Babar Azam,Dot,0,GoodLength,WideOff,Null,Pulled,Null,Null,2
1,Ngarava  ,Babar Azam,Four,4,Null,Null,Null,Null,midwicket,Null,2
1,Ngarava  ,Babar Azam,Dot,0,Null,OutsideOff,SlowBall,Null,front cover,Null,2
14,Ngarava  ,Babar Azam,Dot,0,Null,Null,Null,Null,Null,Edged,2
14,Muzarabani  ,Babar Azam,Dot,0,Short,AroundOff,Null,Punched,Bowler,Middled,1
14,Muzarabani  ,Babar Azam,Dot,0,Null,DownTheLegSide,Null,Tuckle,MidWicket,Middled,1
14,Ngarava  ,Babar Azam,Dot,0,GoodLength,AroundOff,Null,Defended,Point,Middled,1
12,Muzarabani  ,Babar Azam,Dot,0,Null,AroundOff,Null,Drive,Cover,Middled,1
12,Jongwe  ,Babar Azam,Dot,0,Null,Null,Null,Dabbed,Slip1,edge,1
12,Jongwe  ,Babar Azam,Dot,0,Null,LegStump,SwingingIn,Flick,Null,Missed,1
11,Muzarabani  ,Babar Azam,Single,1,FullLength,Null,Null,Flick,SquareLeg,Edged,1
11,Muzarabani  ,Babar Azam,Double,2,FullLength,OutsideOff,Null,Drive,ExraCover,Middled,1
11,Muzarabani  ,Babar Azam,Dot,0,GoodLength,OutsideOff,Null,Defended,Null,outside edge,1
11,Ngarava  ,Babar Azam,Single,1,GoodLength,Null,Null,Crunched,DownTheWicket,Middled,1
6,Ngarava  ,Babar Azam,Dot,0,Short,AroundOff,Null,Pulled,MidWicket,Middled,1
6,Jongwe  ,Babar Azam,Dot,0,FullLength,Null,Null,Punched,WicketKeeper,miss,1
6,Jongwe  ,Babar Azam,Single,1,Short,Null,Null,Flick,MidWicket,Middled,1
5,Jongwe  ,Babar Azam,Four,4,Short,OutsideOff,Null,Pulled,RightMidWicket,Middled,1
5,Ngarava  ,Babar Azam,Dot,0,FullLength,across off,AnglingIn,Defended,Cover,Middled,1
4,Ngarava  ,Babar Azam,Single,1,Short,Null,Null,Dabbed,Point,Middled,1
4,Ngarava  ,Babar Azam,Dot,0,Yorker,Null,Null,Drive,ExraCover,Middled,1
4,Ngarava  ,Babar Azam,Dot,0,FullLength,OutsideOff,SlowerBall,Pulled,Null,Missed,1
3,Ngarava  ,Babar Azam,Single,1,Null,Null,Null,Defended,Cover,Middled,1
3,Burl  ,Babar Azam,Single,1,Null,Null,Null,Null,Null,Null,1
3,Burl  ,Babar Azam,Double,2,Yorker,Null,Null,On drive,MidWicket,Middled,1
3,Burl  ,Babar Azam,Single,1,GoodLength,Null,Null,Pulled,LongOn,Middled,1
2,Masakadza  ,Babar Azam,Double,2,GoodLength,DownTheLegSide,Null,Flick,DeepSquareLeg,Middled,1
18,Masakadza  ,Babar Azam,Double,2,Null,Null,Null,Punched,CoverSweeper,Middle,1
17,Masakadza  ,Babar Azam,Single,1,Null,Null,SlowerBall,Null,DeepOnTheOffside,Middle,1
17,Masakadza  ,Babar Azam,Double,2,GoodLength,Null,SlowerBall,Cut,ThirdMan,Middle,1
17,Burl  ,Babar Azam,Double,2,Yorker,OnThePads,Null,Whipped ,DeepMidWicket,Middle,1
17,Burl  ,Babar Azam,Single,1,Short,Null,Null,Whipped ,MidWicket,Middle,1
16,Burl  ,Babar Azam,Single,1,Shortter,AroundOff,Null,Null,MidWicket,Middle,1
16,Burl  ,Babar Azam,Single,1,Short,Null,Null,Null,DeepMidWicket,Middle,1
15,Jongwe  ,Babar Azam,Dot,0,Null,Null,Null,Null,WicketKeeper,Beaten,1
15,Masakadza  ,Babar Azam,Single,1,Null,Null,Null,Punched,LongOn,Edged,1
15,Masakadza  ,Babar Azam,Single,1,GoodLength,Null,Null,Knocked,Null,Middle,1
15,Masakadza  ,Babar Azam,Four,4,FullLength,Null,Null,Drive,LongOn,Middle,1
15,Masakadza  ,Babar Azam,Single,1,GoodLength ,Null,Null,Drive,long-off,Middle,1
14,Burl  ,Babar Azam,Single,1,FullLength ,Null,Null,Drive,deep point,Middle,1
14,Burl  ,Babar Azam,Single,1,GoodLength ,OutsideOff,Null,Pulled,MidOn,Middle,1
13,Burl  ,Babar Azam,Single,1,GoodLength ,Null,Null,Pulled,DeepMidWicket,Middle,1
13,Burl  ,Babar Azam,Four,4,GoodLength ,OutsideOff,Null,Cut,BackwardPoint,Middle,1
13,Masakadza  ,Babar Azam,Double,2,Short ,Stumps,Null,Null,SquareLeg,Middle,1
12,Masakadza  ,Babar Azam,Four,4,GoodLength ,Null,Null,Lumped,MidOff,Middle,1
12,Masakadza  ,Babar Azam,Single,1,Short ,Straight,Null,Nudged,LegSide,Middle,1
12,Burl  ,Babar Azam,Double,2,GoodLength ,Null,Null,Belts,DeepMidWicket,Middle,1
12,Burl  ,Babar Azam,Single,1,FullLength,Null,Null,LeadingEdge,OffSide,Middle,1
12,Burl  ,Babar Azam,Single,1,GoodLength ,Null,Null,Null,Cover,miscued,1
11,Burl  ,Babar Azam,Triple,3,Short ,Null,AnglingIn,Whipped ,WideLongOn,Middle,1
11,Masakadza  ,Babar Azam,Single,1,FullLength,Null,PaceOff,Drive,LegSide,Middle,1
11,Muzarabani  ,Babar Azam,Four,4,Short ,Null,Null,TopEdged,ThirdMan,TopEdged,1
11,Muzarabani  ,Babar Azam,Out,-1,Short ,Null,KnuckleBall,HoledOut,DeepMidWicket,Middle,1
10,Muzarabani  ,Babar Azam,Dot,0,FullLength,OnThePads,Null,Edged,Null,Edged,1
9,Willey  ,Babar Azam,Single,1,Short ,Null,Null,Drive,Cover,Middle,1
9,Willey  ,Babar Azam,Single,1,FullLength,Null,Null,RunsItDown,ThirdMan,Middle,1
9,Gregory  ,Babar Azam,Dot,0,GoodLength ,Null,Null,chip,OnSide,Middle,1
8,Gregory  ,Babar Azam,Single,1,FullLength,Null,Null,Drive,OffSide,Middle,1
8,Parkinson  ,Babar Azam,Dot,0,FullLength,Null,Null,Drive,MidOff,Middle,1
8,Parkinson  ,Babar Azam,Four,4,GoodLength,Wide,Null,Leans into it,Cover,Middle,1
8,Parkinson  ,Babar Azam,Single,1,FullLength,Null,Null,Flick,MidWicket,Middle,1
8,Parkinson  ,Babar Azam,Single,1,GoodLength ,DownTheLegSide,Null,Null,Null,Middle,1
7,Willey  ,Babar Azam,Single,1,FullLength  ,DownTheLegSide,Null,Null,Null,Middle,1
7,Parkinson  ,Babar Azam,Dot,0,GoodLength,Null,Null,Punched,Bowler,Middle,1
7,Parkinson  ,Babar Azam,Single,1,Short    ,Wide,Null,Null,Null,Middle,1
6,Parkinson  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Clipped,MidWicket,Middle,1
6,Parkinson  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Edged,Null,Edged,1
6,Livingstone  ,Babar Azam,Dot,0,Short    ,OffThePads,Null,Drive,Bowler,Middle,1
6,Livingstone  ,Babar Azam,Single,1,FullLength  ,Null,Null,Smashed,Bowler,Middle,1
5,Livingstone  ,Babar Azam,Double,2,Short    ,Null,Null,Scooped,MidOn,Middle,1
5,Parkinson  ,Babar Azam,Four,4,FullLength  ,Null,Null,PickUp,WideMidWicket,Middle,1
5,Burl  ,Babar Azam,Single,1,GoodLength ,Null,Null,KanesItDown,ThirdMan,Middle,1
5,Burl  ,Babar Azam,Single,1,FullLength,Null,Null,RunsItDown,ThirdMan,Middle,1
4,Madhevere  ,Babar Azam,Dot,0,Null,Null,Null,Null,Null,Middle,1
4,Madhevere  ,Babar Azam,Single,1,Short,Null,Null,eased down,DownTheGround,Middle,1
4,Jongwe  ,Babar Azam,Double,2,Short,Null,Null,Flick,WideLongOn,Middle,1
3,Jongwe  ,Babar Azam,Single,1,Null,Null,Null,Drive,DownTheGround,Middle,1
3,Jongwe  ,Babar Azam,Single,1,GoodLength,DownTheLegSide,Null,Null,Null,Middle,1
