OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
6.5,Mitchell Santner,Spin,Babar Azam,4,GoodLength,Middle,SquareLeg
6.3,Mitchell Santner,Spin,Babar Azam,1,GoodLength,Middle,Cover
6.2,Mitchell Santner,Spin,Babar Azam,0,FullLength,Middle,Cover
5.5,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
5.4,LH Ferguson,Fast,Babar Azam,4,GoodLength,Middle,Point
5.1,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,MidWicket
4.6,Tim Southee,Fast,Babar Azam,1,GoodLength,Middle,SquareLeg
4.5,Tim Southee,Fast,Babar Azam,4,FullLength,Middle,SquareLeg
4.4,Tim Southee,Fast,Babar Azam,0,GoodLength,Middle,ThirdMan
3.6,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,Point
3.3,LH Ferguson,Fast,Babar Azam,1,ShortLength,Middle,ThirdMan
3.2,LH Ferguson,Fast,Babar Azam,2,GoodLength,Middle,ThirdMan
3.1,LH Ferguson,Fast,Babar Azam,4,FullLength,Middle,StraightHit
2.3,Trent Boult,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
2.2,Trent Boult,Fast,Babar Azam,4,GoodLength,Middle,Point
1.6,Tim Southee,Fast,Babar Azam,1,GoodLength,Middle,MidWicket
1.3,Tim Southee,Fast,Babar Azam,0,GoodLength,Middle,Point
0.6,Trent Boult,Fast,Babar Azam,0,GoodLength,Middle,Point
8,Hendricks,Fast,Babar Azam,1,FullLength,Off,DeepMidWicket
6,Magala,Fast,Babar Azam,0,ShortLength,Off,DeepCover
5,Hendricks,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
5,Hendricks,Fast,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
4,Linde,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
4,Linde,Spin,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
4,Magala,Fast,Babar Azam,2,FullLength,OutsideOff,DeepMidWicket
3,Magala,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOff
3,Williams,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepCover
2,Hendricks,Fast,Babar Azam,4,FullLength,OutsideOff,ThirdMan
17,Shamsi,Spin,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
17,Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
16,Magala,Fast,Babar Azam,1,FullLength,Middle,BehindSquare
15,Shamsi,Spin,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
14,Magala,Fast,Babar Azam,1,ShortLength,OutsideOff,ExraCover
