Line,Length,Position,CRuns,CCount,TRuns,TCount,Line Length Combination,Total Shot Field Count,FR,P1
OutsideOff,Yorker,ExraCover,1,3,1310,929,11,20,0.55,0.23638676844783713
OutsideOff,Yorker,LongOn,7,5,1310,929,11,120,0.09166666666666666,0.9928244274809159
OutsideOff,Yorker,ThirdMan,1,1,1310,929,11,79,0.13924050632911392,0.7091603053435114
Wide,FullLength,DeepBackwardPoint,1,1,1310,929,3,30,0.1,0.7091603053435114
Wide,FullLength,DeepPoint,1,1,1310,929,3,38,0.07894736842105263,0.7091603053435114
Wide,FullLength,ThirdMan,4,1,1310,929,3,79,0.0379746835443038,2.8366412213740455
Wide,GoodLength,LongOn,1,1,1310,929,13,120,0.10833333333333334,0.7091603053435114
Wide,GoodLength,StraightHit,2,2,1310,929,13,37,0.35135135135135137,0.7091603053435114
Wide,GoodLength,ThirdMan,32,10,1310,929,13,79,0.16455696202531644,2.269312977099237
Wide,ShortLength,ExraCover,1,1,1310,929,4,20,0.2,0.7091603053435114
Wide,ShortLength,StraightHit,2,2,1310,929,4,37,0.10810810810810811,0.7091603053435114
Wide,ShortLength,ThirdMan,4,1,1310,929,4,79,0.05063291139240506,2.8366412213740455
